disease,obesity,n,n,obesity,obesity,obesity,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,obesity,n,obesity,n,n,n,n,n,n,n,n,n,obesity,n,obesity,n,obesity,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,obesity,n,n,n,obesity,n,obesity,obesity,n,obesity,obesity,n,obesity,n,n,obesity,n,obesity,obesity,obesity,n,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,n,obesity,obesity,obesity,obesity,n,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,n,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,obesity,obesity,n,n,obesity,obesity,n,obesity,n,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,n,n,obesity,obesity,obesity,n,n,n,obesity,n,n,obesity,n,obesity,n,n,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,n,n,obesity,obesity,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,n,obesity,obesity,obesity,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,n,obesity,n,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,n,n,obesity,obesity,obesity,obesity,n,obesity,n,obesity,obesity
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,,0.1133,1.2945,1.96158,0.22727,,1.46418,,2.47379,,0.97696,0.8763,0.23881,0.1232,0.33476,0.6734,2.1629,,0.4611,,0.3613,,7.2519,3.713,0.5951,0.46298,,0.72139,1.63684,0.36228,,0.21753,1.5712,1.63577,0.51362,,,0.6851,0.1854,,0.54316,0.2553,0.4758,3.537,,3.16553,0.33167,0.22757,0.15629,,0.32579,0.3459,0.63714,0.19354,0.299,,0.14864,0.41776,0.99731,0.7321,0.93,2.16341,,0.12992,0.47846,0.318,0.6879,,0.642,0.25913,0.447,0.26555,0.44437,0.93753,0.51389,,2.24135,0.35312,0.243,0.21221,0.9964,0.1248,,0.4357,0.2914,0.3837,3.33641,2.47476,0.229,2.1929,0.36927,0.2672,,,0.63438,0.14251,0.31933,0.68296,,0.8691,0.11276,5.63466,2.276,0.19217,0.27825,1.6499,2.7559,0.11395,0.9793,1.416,0.297,0.16172,0.61993,0.19527,,0.49678,0.7362,2.1989,6.49542,0.4211,1.7619,,1.86861,0.69,0.327,0.58663,2.99239,0.7142,2.95738,0.33557,,0.17521,0.28573,0.32276,0.26753,1.5663,0.5436,0.64887,0.87749,,,0.984,2.5534,,0.13569,0.2199,0.89521,,0.98986,5.12189,5.8686,9.75784,,,0.3927,1.385,0.491,3.18839,1.9179,5.41579,0.18785,0.13219,0.51298,0.1874,1.3431,0.9362,0.1713,1.78961,0.117,,0.4612,0.7257,,,0.34938,3.38293,0.67,1.53776,0.64736,0.54166,,0.56967,2.41197,0.69561,3.52161,2.2699,,1.5417,2.78421,0.1837,0.36469,3.73277,,0.2524,0.7177,,0.1725,0.1934,0.37688,0.25396,,3.1367,,0.24262,0.49534,1.2697,0.5324,0.1258,0.7971,2.78652,1.97849,1.949,0.2929,0.4217,0.79894,0.7739,2.19468,0.922,0.39753,,2.47642,0.61571,0.53,0.484,0.67774,0.41386,3.84646,2.34911,6.69595,,0.3545,0.21726,0.21562,0.3389,3.7838,0.752,2.9876,0.57989,,0.223,0.86935,0.27598,0.9433,2.531,,1.1861,2.67862,0.3626,5.6958,0.2388,0.9914,,4.45474
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum,,,,,,,,,,,,,,,,0.296,,,,,0.6768,,,,,0.2211,,,,,,,,,,,,0.4838,,,,,,,,,,,,,,,,0.4224,,,0.2496,,,,,,,,0.23179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11885,,,,,,0.585,,,,,,,,,,,0.6675,,,0.15263,,,,,,,,,,,,,,,,,,,,,,,,0.13212,,,,,,,,,,,,,,,,0.19637,,,,,,,,,,,,,,,,,,,,,,0.39582,,,,,,,,,,,,0.91,,0.15883,,,,,,,,0.547,,,,,0.1564,,0.19745,,,,,,,,,,,,,,,,,,,,,,,,0.4937,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,,,,0.4414,,,0.26733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8525,,,,,,,,,,0.1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6552,,,,,,0.732,,,,,,,,,,,,,,,,0.2192,,,0.1435,,,0.4325,,,,,,,,,,,,,,0.1232,,0.9721,,0.7442,1.34563,,,,0.1841,,,,0.13751,,,,,,,0.67733,,,,0.744,,,,,1.52174,,,,0.8536,,,,1.58965,,,,,,,,0.2,,,,0.93235,,0.87,0.254,,,,,,,,0.325,0.61511,0.17192,,,,0.66684,,,,,,,,,,,,,,,,,,,0.24192,,,,,,,,,,,,,0.2811,,,,,,,0.19271,,,,,,,0.449,0.6532,,,,,,,,0.58147,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,,,,,,,,,0.1321,,,0.1393,0.51,,,,0.1217,,,,,,0.17325,0.1344,,,,,,,,,0.4919,,,,,0.8438,,,,,,0.2612,,0.9215,0.1939,,0.1667,,,,,,,,0.18727,,,,,,,,0.99951,,,,,,,,0.3151,0.974,,,,,,,,,,0.1145,0.7,,,0.227,,,,,,,,,,,,0.1451,,,0.6754,,0.2731,0.8814,,0.4858,,,,,,0.8,,,,0.83,,,,,,0.4383,,,,,0.1914,0.4597,,0.446,,,0.6264,,,,0.718,,,,,,,,,,,,0.2254,1.1589,,,,0.1439,,,,,0.473,,,,,,,0.857,0.7253,,2.12611,,,,,0.147,,,,,,,0.816,1.6118,0.12439,,,0.29239,0.12277,0.4568,0.896,,,,,,,,,,,0.319,,,,,,,0.162,0.3537,,0.6938,,,,,0.9,,0.3961,0.12488,,0.245,,0.381,,,0.24,0.135,,,0.562,0.263,,,0.882,,0.45713,,,,,0.28211,0.139,0.29,,,0.6229,,0.359,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,0.52963,0.216,0.17683,1.78766,0.6365,,0.18934,,0.8153,0.1929,,0.2855,0.46267,0.6382,0.25292,0.129,0.25937,,,0.25912,0.33234,0.5945,0.75287,0.93389,0.19617,0.2479,,0.6236,0.15152,,0.11715,0.1189,0.1427,,0.8475,0.16244,0.9748,0.9775,0.73165,,0.74276,,0.9654,0.64658,0.68824,0.18796,0.1747,0.57738,0.3163,0.5876,0.5396,0.14866,0.2196,0.1897,,,0.11371,0.8677,0.52563,,0.1764,3.41348,0.67334,0.29582,0.5238,0.11,0.15563,0.3926,,0.1998,0.656,0.21731,0.4669,0.21886,0.94327,1.59555,0.35525,0.5332,0.6396,0.5761,0.1339,0.2914,,0.27539,0.2377,0.12891,1.32778,0.72215,0.3762,0.63751,0.4984,0.1443,0.6666,1.71534,0.38892,0.13892,0.18874,0.4133,0.1665,0.214,,2.872,0.16166,0.7639,0.83778,0.89585,0.73564,0.2799,0.9576,0.22196,0.7231,0.679,0.32632,,0.345,0.11119,0.7377,0.35329,1.33316,0.159,0.9927,,0.1657,0.51796,1.87888,0.174,0.22721,0.92655,0.7944,,,0.434,0.744,0.24678,0.26827,0.3557,0.4665,0.52171,0.37581,0.923,0.13773,,1.4363,,0.286,0.5349,0.21168,,0.536,7.51678,0.1346,3.92431,2.32984,0.84123,0.76833,1.8922,0.314,,0.2186,5.47492,0.23898,2.2939,0.94276,0.4636,,0.88599,0.8322,0.1722,1.1799,,2.7764,0.3531,1.1672,,0.35735,0.8858,,1.84913,0.6916,0.32198,,0.1262,0.49846,0.71198,1.35576,0.1749,0.16,0.9642,0.92666,0.5962,0.1555,,,0.93449,0.26672,0.48139,0.9999,0.59187,0.12599,0.6975,,0.14424,,0.3798,0.58532,0.18682,0.4334,0.15222,0.33647,0.916,,0.31936,0.3967,0.45575,0.77961,0.44827,0.264,0.298,0.6373,,1.672,0.83968,,0.21435,0.2719,,0.4635,1.29766,1.64222,0.5485,0.279,0.2519,0.196,0.13342,0.6632,,2.61628,0.192,0.92845,0.48,0.68155,0.24793,0.3613,3.41325,,0.39679,1.15657,,0.26281,0.4122,0.45,,1.1172
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,,,,,,,,,0.5336,,,,,,,,,,,0.54677,,,,,,,,,,,,,0.1799,,,,0.37251,,,,,,,0.7598,,,,0.13261,,,0.2591,,,,,,,,,,,0.74543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.959,0.5627,,,,,0.4169,,,,,,,,,,,,,,0.2686,,,,,,,,,,,,,,,,,,,,,0.3951,,,,,,,0.142,,,,,,,,,,0.855,,,,,,0.55888,,,0.23589,,,0.1599,,1.9264,,,,,0.81,,,,,,,,,0.57197,,,,,,,,,,,,,,,,,0.8357,0.1472,,,,,,0.59395,,,,,,,,,,,,,,,0.9584,,,,,0.6352,,0.352,,,,0.23,1.34233,0.739,,,,0.4323,,,0.983,,,,,,,,0.77,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3736,,,,,,,,,,,,,,,,,,,,,,,,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.866,,,,,,,,,,,,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,0.5124,,,0.353,0.1767,0.762,0.8578,0.362,,0.7456,0.291,,,,0.2761,,0.4252,0.83,0.184,,,,0.5867,0.558,0.113,0.172,0.1423,,0.616,0.9468,,,,0.3958,,,0.635,0.6785,0.13329,0.246,0.1981,,0.58,0.883,,0.143,0.88,0.3371,,0.1839,0.12,0.7295,0.312,,,0.4835,0.77,0.1131,0.974,0.394,,0.51178,,0.5994,0.577,0.1316,0.4528,,,,,0.1671,0.2313,,0.258,0.9223,0.2588,0.136,,0.1136,,0.16,0.627,,,,0.136,0.147,,0.4237,0.161,0.263,,0.1168,0.1864,0.373,0.1678,,,0.5752,,0.33693,,0.375,0.13325,0.555,0.57,,,0.1269,0.93,0.624,,0.1389,0.451,0.7446,,,0.282,,0.1512,,,0.961,0.3116,0.5129,0.3539,0.19226,0.648,0.121,0.25449,,0.6636,0.1382,0.225,0.1456,,0.2464,0.1667,0.5769,0.2271,0.3373,,0.3589,,0.365,0.233,0.487,0.2,0.9842,,0.9566,0.24775,0.183,0.369,0.4117,,0.576,0.314,0.75613,,,0.1411,0.8377,0.4291,0.699,0.2525,,,0.47473,0.5619,,0.6246,0.35918,,,0.6548,0.1679,0.783,0.182,0.9398,0.5528,0.616,0.6255,0.757,,,,0.1226,,0.3159,,0.5296,,0.226,0.3124,0.362,0.1254,0.468,,,0.4969,0.1781,0.329,0.9544,,0.622,0.237,,0.1762,0.1348,0.548,0.1592,0.4669,0.31,,,,0.1523,0.1184,0.562,0.7441,0.4411,0.1698,0.455,,,0.856,0.542,0.848,0.911,,0.121,,0.3,0.1372,0.86,,0.27,,0.17262,0.3556,,0.2641,,0.2626,0.1614,0.126,0.1972,0.16492,0.12,0.12191,0.5952
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,0.287,,,,,,,,,,,,,0.292,,,,,,,,,,,,,,0.196,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,0.1393,,0.731,0.4,,0.57,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,0.673,,,,,,,,,,,,,0.88,0.111,0.685,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,0.37639,0.15818,,0.39822,0.1,0.3893,0.4715,0.1217,0.88999,0.48671,,0.3328,0.53418,0.21245,0.2488,0.5954,0.184,,0.36254,0.9174,0.37978,0.126,1.31911,0.2715,0.7864,0.9832,0.22343,0.2132,0.55242,0.1643,,0.1269,0.95771,0.12874,0.42891,0.2753,0.26735,0.53912,,0.881,1.773,0.25463,0.13426,0.4145,0.31315,0.316,0.13127,0.293,0.489,0.67369,0.13981,0.39218,0.3514,0.7915,0.19461,0.8449,0.15974,0.1866,0.4255,0.5177,0.51514,1.6294,,0.5545,0.3674,0.14722,0.43618,0.7544,0.584,0.166,0.4216,0.1627,0.12854,0.1225,0.2953,,0.45447,0.216,0.1318,0.1195,0.9268,0.2987,,0.33583,0.2653,0.18489,0.25382,0.572,0.22581,0.71484,0.27791,0.2798,,0.29151,0.13682,0.39679,0.2872,0.2873,,0.6344,0.143,7.84882,0.28896,0.25979,0.13145,0.31498,0.2797,0.26114,0.25269,0.32417,0.11256,0.44148,1.571,0.29471,0.13112,0.87637,0.1199,0.7881,2.411,0.27976,0.29756,,0.29371,0.14715,,0.2982,0.48793,,0.42316,0.47247,,0.39925,0.32149,0.15225,0.2991,0.1575,0.1859,0.5662,0.4537,0.1378,,0.993,0.92653,,0.18773,0.21461,0.41569,,0.18515,1.85776,0.97164,1.29821,,0.686,0.52166,1.2556,0.33834,0.63271,1.8213,0.99339,0.38697,0.84953,0.1943,0.18518,,0.2814,0.36476,0.99585,0.24315,1.5932,0.9983,,,,0.3726,0.29562,,0.94571,,0.5828,0.52936,0.25944,0.25977,1.3594,0.39782,0.5917,,0.47651,0.85426,0.1751,1.1585,0.164,,,0.6512,0.32113,0.14157,0.48667,0.79126,0.22937,,0.19775,0.14995,0.29132,0.49486,0.85715,0.16976,0.24232,,0.32119,0.4892,1.4268,0.4521,0.3535,1.27418,0.28827,0.1579,0.77186,0.24192,0.79437,0.74233,,,0.31357,0.27529,0.69688,1.7565,0.46139,1.44297,0.3976,0.561,0.24491,0.38236,0.72734,0.46578,0.8426,1.6444,1.46127,1.79168,0.1648,2.5116,0.3363,0.53259,1.4387,0.78345,0.3749,0.54259,,0.96751,,0.51857,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified,,,0.2885,,,,,,,,,,,,,,,0.2518,,,,,,,,,,0.792,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.655,,,,,,,,,,,,,,,,,,,,,,0.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,0.771,,,,,,,,,,,,,,,,0.694,,,,0.117,,,0.2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2148,,,,,0.2212
