disease,n,n,n,cancer,n,cancer,n,n,n,n,n,cancer,n,n,cancer,cancer,n,cancer,cancer,n,n,n,n,cancer,n,cancer,n,cancer,n,cancer,n,n,n,n,n,n,n,n,cancer,cancer,n,cancer,n,n,n,cancer,cancer,cancer,cancer,n,n,n,n,n,n,cancer,cancer,cancer,n,n,n,cancer,n,cancer,n,n,n,cancer,cancer,cancer,n,n,cancer,n,cancer,cancer,n,cancer,cancer,cancer,n,n,n,n,cancer,n,cancer,n,cancer,n,n,n,cancer,cancer,n,cancer,n,n,n,n,cancer,n,n,n,cancer,cancer,cancer,cancer,cancer,cancer,n,cancer,n,n,n,n,n,n,n,cancer,cancer
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum,,,0.647,,0.242,,0.35,0.189,,,0.2122,,,,,,,0.5528,,,,0.456,0.68,0.1331,,0.88,9.00E-01,,,0.26,,,,,0.1582,,,,,0.1868,0.366,0.2574,,,,0.1952,,0.686,,,0.551,,0.182,0.213,,,,,,,,,,,,,,,,,,0.89,,,0.8588,0.129,,0.316,,,0.296,,,,,,,0.285,,,0.2537,,0.6,,,,,,0.22,0.99,,,,,,,,,,,,,0.134,,,0.55,0.371,,,,0.4294
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae,,,0.124,,0.295,,,,,,,,,,,,0.261,0.127,,,,,0.416,0.7731,,,,,,,,,,,0.66,,,,,0.75,,,,,,0.2,,0.299,,,,,,0.49,,,,0.52,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,,,0.98895,,,,1.1558,3.3416,0.2127,0.3243,,0.75842,0.485,0.1326,0.6995,,,0.2867,,3.55348,0.52461,1.25119,0.57944,1.45255,,0.699,0.83323,0.5952,,,,0.27358,,0.79533,1.78336,0.41448,0.65727,,0.3525,0.3578,0.12333,0.17267,,2.11476,0.12674,0.53548,0.278,,,0.41178,0.19156,,,0.7658,0.3393,0.53729,0.37293,,0.52236,0.4574,0.26291,0.38777,,,26.61427,0.98931,0.9792,,1.7927,,,2.244,1.52827,0.19267,0.5375,1.3336,,1.5774,0.48941,,0.417,0.9695,,0.67715,1.3471,0.843,0.2141,,,1.46823,0.35956,2.17473,0.365,2.44387,0.2527,0.54677,,,,0.7274,,,0.6545,0.68392,0.27355,1.99283,,0.336,0.873,,0.63873,0.14771,,0.1587,3.842,2.8569,1.3521,1.62925,0.4387,0.1928,2.6877
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified,0.147,,,,0.535,,,,,,,,,,0.23923,0.7487,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,0.168,,,,,0.1456,,,,,,,,,,0.1337,,,,,,0.478,,,,,,,0.3272,,,,,,0.7273,,,,,,,,,,,,,,,,0.33,,0.243,,,0.625,0.1688,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_phI,0.1187,,,,0.16296,0.4716,0.7929,,,,,,2.3958,,,0.9138,,,,,,,,,,,,,0.7491,,1.799,,,,,0.1219,,,,,,,0.45467,,,0.82211,,1.1132,0.3493,,,,0.56168,,,,,,0.7775,,,,,0.1143,,,,0.4511,,,,,0.3429,,,,0.1637,,,0.24343,0.233,,,,,0.825,,0.97883,0.766,,,,,,0.78,,,0.39433,,2.25966,,,,,,,,,,,,,,,,,0.1147,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta,0.3,,,,,,0.193,,,0.339,,,0.1134,,,,0.532,0.1595,0.127,0.15,0.1244,,0.314,,,,0.1785,,0.741,0.26583,,,,0.39,0.5972,0.167,,0.884,,,,,0.361,,0.243,,,0.127,,0.7358,,0.17998,0.293,0.336,,0.437,,0.43,,,,,0.877,0.446,0.4843,0.21,,0.2899,,0.15123,0.845,,,,,,,,,,,,0.167,,,,0.1,,,,,,,0.51,0.5113,,,0.89,0.2811,0.2853,,,,,,,0.367,,,0.13,,,,,0.189,,,,,0.55,0.237
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,0.353,,,,,,0.564,0.1164,,0.2724,0.829,,0.6128,,,0.5323,0.463,0.1244,0.138,,0.13672,,0.5269,0.135,0.397,,0.6739,,0.3272,0.71462,1.13244,,,0.2745,0.311,,,0.48536,0.2776,0.164,0.782,,0.41632,0.152,0.6996,,,0.25957,0.48,0.26835,0.134,1.26727,0.723,0.22927,,0.7437,,0.9632,0.61564,0.613,,,0.757,0.12553,0.6326,0.1542,,0.16569,,0.11777,0.6753,0.25,0.891,,0.91,,0.1325,,,0.3114,0.78,,0.1294,,,0.1146,0.1179,,0.1655,,0.265,,0.57,0.9,0.15731,,,0.9497,0.677,0.25773,0.618,,0.463,,0.558,0.565,0.45,,0.1163,0.685,,0.25,0.4581,,0.4719,0.11429,0.37,,,0.169,0.664
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,0.267,,0.4788,,,,0.146,0.3791,,0.39,0.1263,,0.231,,,0.826,0.1576,,,,0.22259,,0.12436,,,,0.639,,0.4312,0.1848,0.15267,,,0.73,0.2477,,,0.645,,,0.51,,0.855,,,0.181,,0.48,,0.192,,,0.192,0.4941,,,,0.469,,,,0.2668,,,0.3554,0.2413,,,,,0.1191,,,,0.73,0.128,,,,0.6995,,,0.18,0.47,,0.2311,,,,,,,0.568,,0.151,,,0.513,,0.186,0.679,,,,0.22,0.1456,,,,,,,,,,0.1246,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified,0.13,,,,0.65,,0.93,,,0.194,,0.41,,,,0.5324,,,,0.19,,0.195,,0.42,,0.971,,0.556,0.37,,,0.34,,,0.48,,,,0.6611,0.153,0.142,,,0.2173,,0.652,,0.5158,,,,,,,,0.513,,0.111,,,,,,,0.624,,,,,,,,,,,0.484,,0.675,,,,,,,,,,0.974,,,0.99,,0.47,0.19,,0.892,,,,0.24933,,,,0.752,,,,0.442,0.8265,,0.6342,,,,,,,,,,0.714
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis,,,,,0.4357,,,,,,,0.3312,,,,,,,,,0.1913,,,0.4559,,,0.63,,,,,,,,,,,,,0.745,,,,,,0.3479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,,,,,0.1292,,,,,,,,,,,,,,,0.29984,,,,,,,,0.3569,0.1389,,,,,,,0.1376,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_barnesiae,,,,,,,,,,,,,,,,,,,,,,,,,,0.3813,,,,,,,,,,,,,,,,15.86535,,,,1.51695,,,,,,,0.97987,,,,,,,,,,,,,,,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,0.52988,1.39187,0.76858,7.48128,0.38156,2.72139,,0.236,1.44523,1.63418,0.38299,3.28269,0.7316,1.26212,,1.48723,,,,0.85261,9.2436,0.2299,2.1933,0.57542,,0.867,0.76,0.5439,,4.637,0.156,0.584,0.4625,3.8254,0.54732,0.64541,0.63852,1.19467,1.736,0.61459,1.43342,0.46823,0.33221,0.5799,,0.4131,0.12561,,5.17441,0.899,0.17612,,0.46816,5.95476,0.161,,,0.8294,0.47652,0.61,2.1952,,1.1737,,0.145,2.36612,0.368,0.446,3.94723,1.3395,1.2997,0.48341,0.79219,0.99952,1.23415,0.4578,,0.8525,0.8758,,0.11936,1.5914,1.5515,0.17579,4.23656,,,,0.412,1.9667,0.159,0.9181,0.28,,,1.8612,,1.28267,,1.37963,0.9351,0.7127,0.3379,0.3318,2.54714,1.28981,0.31115,1.8856,0.8322,0.768,0.68214,7.28169,3.3469,0.47964,0.6668,0.48,0.35247,,0.4557,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,0.1388,0.13971,0.9762,0.45978,,0.4981,1.31146,2.91141,0.5111,0.18298,0.12677,4.89676,1.6658,0.183,,,,3.69652,,,0.26673,0.6754,5.36985,,,0.16331,3.4827,1.966,,,1.53849,0.19681,1.88872,0.52229,,0.79623,0.3442,1.31233,0.4425,0.15,0.66794,,0.1477,0.6645,,0.9985,0.33728,1.711,1.11339,0.3554,0.7534,0.11471,0.5712,0.5278,0.2452,6.65629,,0.74595,0.457,0.735,0.228,0.7389,,0.61122,,3.55759,1.92388,,0.56489,0.26969,0.7199,,0.689,0.6243,0.1213,,0.1459,,1.8199,,0.69,0.8831,2.11447,,,0.23985,7.69941,0.8247,,,0.8667,0.2538,,,,0.55,0.7829,2.75745,2.2786,0.75,7.9346,0.2522,,0.6973,,0.218,7.12628,,,0.5462,,0.1146,,,0.1551,,,,,1.61829,0.158
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus,,,,1.5417,0.852,,,1.77741,,,,0.6727,0.14364,0.78,,,,,,,,0.727,1.51683,,,,0.577,,,,,0.414,0.8539,2.5121,,0.1848,,0.49464,,,0.12921,,,0.58,,,0.8167,,0.3657,,0.378,,,,0.3594,,,,4.4324,0.2661,,,,0.7115,,,,,,0.18531,,,,0.3295,,,,0.243,0.6182,0.46,0.12773,0.377,,0.492,,,,,2.17395,,0.8584,0.16,,,,,,,,,0.4851,0.2117,,0.15628,,,,0.8614,,,,0.21628,6.32332,0.3541,,,,,,0.2632,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,,,,,0.155,,0.24612,,,0.2938,,,0.1355,,,,,,,,,,,,,,,,,,,,0.797,,,,0.619,,,,,0.47979,,,,0.185,0.72393,0.148,,,,,,0.26,,,,,,15.6811,,,,,,,,,,,0.8824,0.275,,,,,,0.1165,,,,,,,,,,,,4.256,,1.28724,,2.21441,9.272,,0.8199,,,,,,,,,,,1.6519,,,,2.15542,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus,,,,,,,,,,,,,,,,,,,,,,,,0.726,,,,,,,,,,7.79121,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38526,,,,,,,,,,,0.1437,,3.5831,0.119,0.5366,,0.373,,0.74372,,,,,,3.4387,,,,,,,,,,,,,,,,,,0.1388,,,,,,,0.11742,,,0.788,,,,0.4326,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,0.18129,0.21321,0.19698,2.81199,0.14,2.7777,1.21686,0.85,0.747,0.26736,2.56397,0.5919,0.152,2.3661,0.548,0.593,,7.49648,,0.64498,0.1568,0.23265,1.86249,0.2775,4.1957,0.18832,0.2974,1.7241,0.27535,2.3,4.45,0.13357,0.4791,2.24875,0.8563,1.12748,0.9456,0.2342,0.45867,0.8832,3.6189,0.533,,0.25853,0.26,0.17161,0.218,0.1345,0.23363,0.74262,0.11,,0.53,2.87286,1.393,,25.21181,0.562,1.64822,2.6553,0.14575,0.53,2.12176,0.4348,0.779,0.17245,,0.71,0.77681,2.28792,0.2296,0.1188,1.57131,2.3965,0.5668,0.6136,0.28865,0.5489,0.17717,0.6425,0.13622,0.19768,14.75629,1.22364,,0.454,0.46278,1.5423,7.6478,0.5334,0.72842,1.464,0.213,0.2858,2.54358,0.3916,0.5465,0.8777,0.31719,0.23932,3.36476,1.7327,2.2767,0.13535,0.1578,0.391,13.37829,0.44669,0.3174,0.2262,0.7215,0.35926,,0.77255,13.67542,2.7915,0.1753,0.4232,8.4629,0.3687,0.33985
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,,,,,1.19189,,,9.36428,2.4182,4.76337,,,,0.5159,,0.16348,,,,0.271,,0.2915,,0.177,,,1.34164,1.18574,,,0.497,0.756,,,,1.2912,0.485,0.41296,0.149,0.3923,,,1.21165,1.99983,,2.54738,0.3586,,3.48852,,0.1622,,,,0.7932,,0.2125,,0.726,0.172,0.1476,,,0.758,,,1.88199,,,,,0.3965,,,,,2.3766,0.41,,8.3823,0.24372,,,,,,0.36,,,0.37727,,0.3371,,,,,0.185,,,0.8664,,6.53251,,0.23,,,,0.58546,,16.3718,0.235,0.1764,0.6,0.62793,,,0.14556,0.125,,0.68274,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,0.52887,0.452,0.4,,,,,0.24557,,,,0.19,0.232,2.36537,,,,,,0.225,0.4671,0.61,1.85434,0.13852,,0.434,0.77821,0.963,,,,0.4873,0.51494,,,,,0.3633,0.294,0.2247,,0.941,,0.277,,,0.518,,,,0.283,0.2871,,0.7452,1.76366,,,,0.1139,,0.291,,1.2148,,,,,4.2339,,0.57194,,0.127,0.72749,,0.4131,,,1.8534,,1.2721,,,,0.113,,0.46,4.6828,,0.2666,,0.237,0.57,,0.5721,,,,4.1787,,0.1243,,,,0.32,0.55,0.124,,0.274,,,,0.152,0.29141,1.3796,,,,,,,0.1169
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,,1.198,,,0.3316,,,0.528,,,,,0.5159,,,,,,,,,0.429,1.49678,,,,,0.1842,,1.44842,3.51855,0.29444,0.3136,1.86651,,0.13835,,,,0.54,,,,,,,,,,,0.25436,,,0.158,,,13.48184,,0.19691,,0.8859,,,1.47526,,,,,0.393,0.9359,,0.1452,0.3658,,0.15217,,,1.785,,0.41113,0.2879,,,,,,2.42972,,,0.2461,0.97334,,,0.19479,,,0.8224,,,0.1123,,0.15427,,0.2956,0.3,,,0.11737,,0.1935,,2.11571,,,0.87197,,,,0.7222,,
