disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,3.8626,,0.6915,,,,,0.5197,,0.8475,4.5978,0.295,,,,0.48,,,,,,,,,,,,0.1215,,0.1762,,0.8,,0.17213,0.71,,8.47283,,,0.2813,3.72137,,,,,,,,,0.4523,,,0.1897,,,,,,,,,0.123,,,,,,,,0.6367,,,0.12475,,,0.229,,,,,,,,,,,,,,0.3873,,0.3521,,0.1191,1.9736,,,,,,,,,0.1461,,0.2661,,,,,0.1336,,0.7864,,,,,0.11,,,,0.239,0.2941,,0.1561,,,1.2945,,,0.6121,,0.7571,,0.577,,,,,0.2473,,,,,,,,,0.156,,,,,0.1956,,0.4455,,0.1548,,,,,,,,,,,,,,,0.2312,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,0.53494,,0.645,,,,,,0.95392,,,,0.27963,,0.7592,3.22568,,0.9641,,,,,,,0.421,,2.6938,1.15834,,,,,,,,,2.42314,,,,,,0.63417,,,,,,,,,,,,,0.2946,,,,0.6581,,,,5.2618,,,,,,0.1647,,0.99326,0.8323,,,,,,,,,,,,,,,,,,,,,,,,0.11729,,,,,,,,3.19,,,,,,,,,,,,,,,,0.22453,,0.27918,,,,,,,,0.1581,0.49657,0.12386,,,,,,,,,,,,,,,,,,,,,,,0.876,,0.1983,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,0.316,,0.284,,,,,,,,,,,,0.482,0.43456,,,,,,,,,,,,,,,,,,,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,0.1746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4353,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,0.18888,0.284,0.1242,,0.349,4.4682,0.2888,,,0.9799,0.67831,0.8524,0.29742,,0.16892,3.72614,0.23947,,,,,0.8575,1.77142,0.1485,,,3.49312,0.8654,,,,0.6253,,0.3283,4.13869,2.7139,0.26263,,0.8266,1.1375,0.44831,2.6987,2.38271,0.7517,0.18724,0.38394,0.31248,0.765,0.15172,,0.469,1.627,0.12858,1.9676,0.37831,0.5122,14.7594,0.139,0.59887,0.315,,,0.12217,9.94769,0.7391,,0.2169,,0.3895,0.21219,0.6556,0.729,0.82257,1.27475,0.1946,0.79838,,0.12251,0.828,2.32822,,0.1997,3.83627,0.37664,,0.891,1.5326,0.21973,0.28464,0.2592,0.162,1.43249,,3.4197,,0.4483,0.32569,1.25714,,,,,0.12592,0.497,2.23472,0.2484,,,0.18243,,0.3898,,1.45596,0.7567,0.6795,0.13118,,0.5225,,,0.7579,,1.22452,,,0.127,,,,0.634,0.21885,0.375,0.4262,0.511,0.1988,0.34627,0.8493,0.14554,0.12194,0.533,,0.178,0.418,0.98,0.9947,,0.2251,,0.126,0.9716,0.24,,,0.3466,,0.13,1.4261,,0.5816,,,0.3822,,,,0.639,,,,0.1222,0.129,,0.5332,0.28899
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,0.5659,,0.2619,0.3583,0.8664,,0.739,,0.13197,4.33549,0.1994,0.4893,0.4283,0.63,0.9723,6.3787,,,0.93258,,0.7898,0.21787,,0.28,,0.1451,,4.99712,,0.2499,0.57,2.8133,0.1877,,4.42673,,0.12795,,0.958,0.1325,0.3557,,,0.2837,0.5626,0.16355,,,0.24171,0.799,0.3382,,0.6286,0.4182,0.1445,0.37747,,0.146,0.73636,0.1942,0.99234,12.61496,0.458,,0.2835,0.33364,,0.39914,0.935,0.59162,0.8167,,0.51532,0.153,0.1155,9.3672,,,0.33875,0.55968,,,0.1842,1.26271,0.54857,0.3821,1.684,,0.44157,0.869,0.8947,,0.5462,,,0.934,0.55192,1.51324,,0.4119,,,0.11331,0.36,,,0.645,,,,,,0.356,1.4136,0.74637,,,0.6491,,,0.3116,,,1.92,,0.3744,,,,,0.2827,0.14355,,,19.6516,2.8733,0.1734,,,0.6854,,,,0.1494,3.97157,,0.12969,,0.148,0.874,,,,,0.428,0.8619,,0.813,0.8286,0.16393,,,0.172,,,,,,,0.5119,,0.4126,0.127,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis,,,0.283,0.344,,,0.162,,,,,,,,,,,,,,,,,,,,,0.1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2251,0.52,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.946,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,0.5426,,0.31,,0.1488,0.1846,,,,,0.4855,,,0.14511,,,0.1191,0.793,,0.5162,,,0.5842,0.12237,,0.2497,,,0.17127,0.2438,0.31,,,0.8382,,,0.3215,0.47495,0.374,0.7787,,,,0.78,,,,,0.3382,0.179,,,0.8811,,0.9966,0.21116,,0.3815,0.2858,0.1138,,,0.5486,0.11694,0.384,,0.4296,0.2615,,0.1499,,0.143,0.3153,,0.6111,,,0.7422,0.454,0.3875,0.3,0.757,,,,,,,,0.411,,,0.6146,0.5379,0.441,0.4181,,0.1383,0.56,0.15182,0.183,0.16,0.784,0.193,,0.115,0.957,,0.3491,0.1434,,,0.15668,,,0.463,,0.2451,0.777,0.11924,,0.61614,0.9938,0.1146,,,0.522,,,0.56,0.16584,0.161,,,,,,,0.43,0.3318,0.4216,0.2814,,0.636,,,,,,,0.41,,,0.339,,0.196,,0.126,,,,0.6386,,0.4166,,0.37,,0.6475,0.17964,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum,,,0.625,,,,,,,0.3546,,,,,,0.1899,0.1719,,0.315,,,,,,,,0.59,,,,,,,,,,0.758,,,,,,,,,,,0.1559,,,,,,,,,0.7,,0.217,,,,,,,,,,,,,,,,,,,,,,,,0.542,,,,0.234,,,,0.269,,,,,0.348,0.399,,0.483,,,,,,,0.1112,,,,,,,,0.1865,,,,,,,,,,0.393,,0.129,,,,,,,,,0.687,0.686,,,,,,,,,,,,,,,,,,0.178,,,,,,,,,,,,,,,,0.22,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae,,,,,,,,,,0.529,,,,,,0.32,,,,,,,,,,,,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,0.8627,0.3794,0.6234,,0.98154,,,,0.826,1.15531,0.21982,0.7138,0.17541,0.21657,0.28526,0.53636,,,,0.1337,,0.45,,0.35471,0.8992,0.27788,0.597,,0.14296,0.1161,0.549,,0.34932,0.32856,1.2639,0.61686,,,0.12592,0.59424,0.42693,,,0.9427,0.1231,0.31294,0.15998,,0.485,0.1597,0.1596,,0.1457,,0.11674,,,0.13279,0.1842,0.18267,,,1.4143,3.25131,0.12247,1.93729,0.1613,0.12175,0.5526,0.15592,0.34552,0.35181,0.21451,0.61319,0.34962,0.1189,,0.2965,0.646,0.38287,0.788,0.5999,0.351,0.39542,,,,,0.27996,0.5583,0.27917,1.3153,,0.8552,0.13732,0.1359,0.2877,1.183,,0.2221,,0.3674,0.2328,,0.591,0.39881,0.1257,,,0.689,0.1124,,0.29215,,,0.1776,0.543,0.23654,0.8177,0.24835,0.6469,,0.4491,,,0.7414,,,0.25899,,0.3461,0.2517,0.16575,,0.6917,,0.723,,0.395,0.12238,0.23,,,,,0.225,,,0.3269,0.6868,0.6622,,,0.26539,0.7946,0.15397,,0.2931,0.13562,,,,,0.3839,,0.113,,0.11942,1.6896,,0.683,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified,,,,,,,,0.637,,,,,,,,,,,,,0.11989,,,,,,,,,,,,,,,,0.969,,,,,,,,,,,0.619,,,,,,,,,,,,,0.2843,,,,,,,,,,,,,,,,,0.113,,,,,0.1948,,,0.4422,0.1178,,,,,,,,,,,,,,,,,,,,,,,,,0.1991,,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.443,0.275,,0.98,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_phI,,,,0.1253,,,,,,,,,,,,,,,,,0.453,,,,,,,,,,,,,,,,0.15964,,,0.3325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6934,,,,,,,,,,,,,,,,,,,,,,0.493,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta,,,,,,0.2783,0.866,,,0.265,,,,,,,0.831,0.312,,,0.32,,0.167,,,0.167,,,,,,0.312,0.213,,,0.735,,0.1825,,0.2292,0.25,0.656,0.32,,,,,0.1458,0.1479,0.2359,,0.4371,,0.923,,,,,,0.45,,0.17885,,0.1754,,0.125,,,,,,,,,,,,,,,,0.261,,,0.15,0.141,,0.278,,,0.243,0.875,,0.4491,,,,,0.333,,0.124,,,0.427,,,0.74,,,,,,,,,,,,0.112,,,0.3219,0.189,0.161,,,,,,0.394,,,,,,0.42,,,,,,,,,,,,,,,,,0.1926,,,,0.267,,,0.41,0.679,,,0.163,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,0.36,,,0.943,,0.5494,0.552,0.16251,0.273,0.3347,,0.459,0.542,0.876,,0.259,0.13419,0.3965,0.8514,,0.14351,0.513,0.32933,0.1282,,0.842,0.1246,0.879,0.814,,0.496,0.12674,0.7637,0.52,,0.15458,,0.44155,,0.4667,0.114,0.2378,0.5257,0.2145,0.483,0.232,,0.26753,0.252,0.2924,,0.5996,0.976,0.23,0.474,0.615,,,0.457,0.133,0.8237,1.84924,,0.1362,,0.317,,0.1313,0.541,,0.1693,0.92,,0.338,0.2328,,,0.34,0.85,0.337,,0.5781,0.635,,0.13334,0.3676,0.793,0.11411,0.6859,,0.162,0.29218,0.695,0.1368,,,,,0.498,,0.436,0.886,,0.6579,0.1156,,0.163,0.39,0.7178,,0.29,,0.7125,0.2938,0.2966,0.1389,,0.1672,0.12483,0.9842,0.543,0.9253,0.532,0.9543,0.262,,,0.625,0.547,0.533,0.875,,0.1424,0.249,0.1514,0.8839,0.1552,0.2643,,,,0.2235,0.935,,,,0.1886,0.4722,,,,,0.3229,0.3772,,0.12535,0.1311,,,0.2316,0.4684,0.964,0.2277,0.321,0.2678,,0.528,,0.1173,,,0.6486,,0.3235
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,,,,0.28,,,0.367,,,0.214,,,,0.6,,,,0.14,,,,,0.174,,,,,,,,0.831,,0.861,0.67,0.919,,0.785,0.11268,,0.4637,,,,0.665,,,,0.4478,,0.1524,,,,0.89,0.653,,,,,0.1419,,,,0.7278,,,0.144,0.2657,,,,0.221,,,0.346,,,0.1357,,0.39,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,0.51,0.1912,,,,,0.3932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.966,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified,,,,,,0.21,,,,,,,,0.48,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,0.578,,,,,,,,0.181,,,,,,,,,0.167,0.45,0.156,,,0.215,,,,,,,,,,,,,0.129,,,,,,,,,,,,,,,,0.1753,,,,,,,,0.275,,,,,,,,,0.749,,,,,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis,,,0.654,0.2527,,,,,,,,,,,,,,,,,0.5359,,,,,,,,,,,,,,0.9575,,,,,,,,,,,0.5634,,,,0.5211,,,,,,,,,,,,,,,,0.284,0.2278,,,0.12162,,,,,,,,,,,,,,,,,,,,,0.657,,,,,,,,,,,,,,,,,,,,,0.2642,,,,,,,,,,,,,,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.716,,,,,,,,,,,,,0.2899,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_barnesiae,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,1.86481,3.59358,1.3642,0.74515,0.3934,,1.61837,,2.27633,0.48745,,,,0.38621,0.21473,0.79894,0.162,0.6139,2.42269,0.1484,1.3845,,,0.4547,0.167,0.228,0.466,0.2362,0.91355,0.393,0.28861,0.632,0.4827,0.4845,0.16173,4.6248,0.89571,1.9752,,1.17185,1.7719,,,1.3172,8.11571,,0.67,,1.954,0.3176,0.47829,1.7631,1.9153,0.25,,0.2251,,,0.566,0.6679,,5.17389,0.5312,6.91942,,3.2428,,0.7838,,0.96425,,1.44338,0.2411,,0.27413,0.73,0.247,0.67953,0.63296,0.26118,0.22265,0.29,2.29611,,,3.85479,2.8323,5.44278,,,3.52655,,,3.1146,0.58847,0.3478,0.156,0.96391,3.2922,,3.88266,0.7656,0.46587,4.63185,0.127,0.6876,2.64333,,2.13594,0.76777,0.56928,4.85318,0.16497,0.585,1.7377,0.12738,0.91251,0.68894,4.18444,2.33969,3.557,2.2248,0.2335,,0.8722,0.15143,3.49291,1.78832,4.74417,2.9741,0.945,0.6612,2.7785,,0.17913,0.484,1.637,0.525,0.3166,0.23474,,2.38253,3.56796,0.941,,0.28756,,,1.32194,0.346,0.3437,,5.1823,,1.68765,5.528,,0.394,,3.61826,0.984,,0.15,1.39699,,0.26149,0.5189,1.2941,0.43438,0.264,2.2681,0.3772,1.8628,0.71
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,3.68798,0.16534,0.5291,4.73974,0.5486,4.2556,0.46523,,0.168,0.11862,,,,0.6374,0.74,,0.881,,,0.2675,,0.5239,0.8555,0.34476,,,0.2355,,1.731,0.148,0.66299,,0.73183,0.1818,,,0.38881,,0.2,0.3379,,0.1385,,,8.99117,0.13585,,,0.3236,0.35284,0.3147,0.1798,0.6972,0.7247,0.41347,0.2945,,,,0.127,0.41678,,0.291,0.54617,0.3295,,0.6433,0.347,,0.5621,,0.5897,0.4935,,0.261,,6.473,0.425,0.26297,0.3298,0.922,0.3237,0.469,,2.6679,1.24453,,0.4642,2.9928,0.192,0.4673,,0.2138,0.68785,0.3317,0.1472,,,,0.2815,0.153,0.9553,0.4467,0.2686,,0.6426,0.8387,,0.7416,0.46258,0.3147,,0.134,,0.765,0.61257,0.18389,0.15625,0.88225,0.297,1.8768,2.8878,0.1211,0.2132,0.2853,,0.1151,0.1358,1.34491,0.2115,0.26,0.5415,,,,0.134,1.4683,0.1658,0.654,0.91168,2.29545,4.8641,,0.11188,0.6431,0.389,0.5138,1.7766,,,0.84742,0.226,6.1845,1.45747,0.2253,,,2.96971,7.958,0.489,0.34,0.28654,12.97153,2.7719,2.25425,0.1958,0.1168,0.4367,,0.1331,0.348,0.1588,0.23,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus,,,0.8124,0.24,0.238,7.46161,,0.58,0.33,0.864,,,,,,,0.464,0.442,1.63826,,,,0.5399,,,0.24,0.483,,0.11496,0.142,,,0.146,,0.523,,,,0.337,,0.939,0.123,,0.185,1.8855,,,,0.17474,0.5777,0.88,0.63,,,,,,,,0.43,,,,,0.6593,,,,,0.565,,0.14928,0.19,0.84,,,,0.14,,0.429,,0.6,0.97,,,0.47994,,,,,0.338,,,0.74426,,,0.29,,,0.51,0.177,0.3386,0.128,,,0.671,0.221,,2.58758,,0.516,,0.64,,,0.61135,0.4942,0.25,0.165,2.21951,,,,0.11455,,,0.1464,,0.28936,0.2434,0.63,0.128,0.777,,,,,0.9189,0.895,0.428,1.15931,,0.6574,,,0.1359,,,,,0.18566,0.71,,1.41552,0.19339,0.435,,0.29341,,0.3931,0.67894,,2.37148,,0.64298,0.5466,,,0.25487,,0.375,0.1745,0.9373,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,,,0.12197,8.79914,1.34684,,,,,0.468,3.85714,4.398,3.1498,,,,7.197,0.141,,,7.79176,11.92668,,,0.274,,,,7.46699,3.21179,9.72712,1.3446,,0.95348,21.55119,,,,0.13,3.17998,0.28,,23.9229,,,,,,2.1391,,,,4.27698,,,,,0.884,,0.67447,27.3378,,2.965,,,,,,2.58786,,,,,,,,,1.76181,,,3.4753,9.73995,,,,4.92628,,,4.59499,,,0.113,,,11.9444,6.1854,0.29,2.7928,2.2223,1.747,0.275,,,,,,9.73811,,,,17.28998,2.97728,13.85898,,,,4.9696,,,,,,,,,,,0.166,,1.68873,,,0.2154,,0.59,,,,0.1157,,1.9497,0.1112,,11.34878,,,,,4.4911,,,,,,0.1892,,0.52,,0.476,,,,0.1115,,,,,,,7.2345,,,1.64115,25.28
