disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,n,ibd,n,n,ibd,ibd,n,n,n,ibd,n,n,ibd,ibd,ibd,ibd,ibd,n,n,ibd,n,n,n,n
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,0.78249,,0.1132,0.17712,1.2948,1.9615,0.22727,,1.46393,0.3414,,2.46749,,0.97688,0.8754,0.23878,0.1231,0.33477,0.6734,2.16391,,0.4611,,0.3614,,7.2377,3.727,0.595,0.46299,0.23424,,0.72141,1.63677,0.36226,0.55577,,0.21753,1.5797,1.63574,0.51365,0.1119,,,0.68574,0.18539,,0.54335,0.2553,0.4757,0.6724,3.57,,,3.16563,0.33166,1.2683,0.21493,0.1563,,0.32576,0.3446,0.63712,0.19352,0.299,,0.14865,0.41774,0.99764,0.732,0.95,2.1633,5.597,1.75549,0.5577,0.87456,1.64294,0.21746,0.37,1.7964,0.4186,2.2786,1.89423,2.41379,,0.97772,0.22211,,,0.8579,0.58,2.54614,0.36178,0.1291,3.5155,2.41521,,,,0.6639,0.481,15.94651,13.49771,,3.6374,1.48722,0.29759,0.3379,0.96313,4.34828,1.51629
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum,,,,,,,,,,,,,,,,,,,0.296,,,,,0.6768,,,,,0.2211,,,,,,0.18435,,,,,,,,,0.4842,,,,,,,,,,,,,,,,,,,0.4223,,,0.2496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,,,,,,0.4428,,,0.26729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8533,,,,,,,,,0.162,,,,0.8588,,,,,,,,,,,,,,,2.7568,,,0.1754,,0.15953,,,0.17764,0.83896,0.24149,0.98412,,0.2722,,0.17998,,,,0.5766,0.24653,0.14239,0.87738,0.61688,0.2645,,,,,0.17984,1.921,0.24678,,0.33582,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,,,,,,,,,,,,0.1318,,,0.1393,0.51,,,,0.1217,,,,,,0.17323,0.1344,,,,,,,,,,,0.49199,,,0.3256,,,0.8446,,,,,,,0.2612,,,0.9214,0.1939,,,0.1668,,,,,,,,0.18727,,,,,,0.13622,,,,,0.59,,0.8791,,,,1.1842,,,,,,,,0.21531,0.78,,0.111,,,,,,,0.19446,,,,,,,,1.18423,0.14498
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,0.8186,0.52972,0.2118,0.13165,0.17725,1.78718,0.6365,,0.18931,0.95281,,0.892,0.1929,,0.2855,0.46261,0.6381,0.25292,0.129,0.25936,,,0.25943,0.33235,0.59399,0.75276,0.93393,0.19617,0.2377,,,0.6236,0.15152,,0.193,0.11715,0.1189,0.1427,,0.8475,0.95381,0.16242,0.9695,0.986,0.73163,,0.74261,,0.9653,0.1981,0.6597,0.6883,0.65697,0.18795,0.1746,1.593,0.35589,0.3165,0.58791,0.53197,0.14859,0.21959,0.1897,,,0.11337,0.8654,0.52565,,0.1764,3.4133,2.6394,,0.8976,0.24284,0.1572,0.5297,,0.28547,0.12795,1.98138,0.3319,0.66437,6.65997,0.2881,0.6267,0.17849,,0.19947,,1.6659,0.25655,0.8252,1.39291,,0.25916,0.7741,0.4798,0.98233,,4.62895,2.92121,0.27941,2.5945,0.25624,0.18649,2.94327,0.13199,1.4521,0.88948
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,,,,,,,,,,,,0.5323,,,,,,,,,,,0.54673,,,,,,,,,,,,,,,0.1712,,,,,0.37253,,,,,,,,0.7598,,,,,,0.1823,,,0.2591,,,,,,,,,,,0.74539,0.9574,,0.3493,0.5962,,,,0.1397,,,0.8983,0.1518,,,,0.31,,0.15187,,,0.2827,,,,,0.11628,,0.7728,,0.12856,0.73,,1.87212,0.9274,,,,,0.5693
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3736,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,0.331,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,0.3892,0.5125,,,,0.352,0.1767,0.761,0.8576,,0.362,,0.7456,0.291,,,,0.2761,,0.4252,0.83,0.184,,,,0.5866,0.558,0.113,0.172,,0.1423,,0.616,0.9468,,,,,0.3958,,,,0.636,0.6791,0.13329,0.246,0.1986,,0.58,0.2842,0.8829,,0.3427,0.143,0.88,0.16859,0.175,,0.1839,0.12,0.7292,0.312,,,0.4835,0.77,0.1131,0.974,0.394,,0.51176,0.12677,,,0.1157,,,,0.3927,0.3681,0.1255,0.138,0.14319,,,0.11147,,,0.49933,0.11852,,0.1416,0.1522,0.5526,0.14795,0.359,0.11538,,0.22483,,,0.8849,0.834,,0.456,0.277,0.42827,0.5974,0.81673,2.196
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum,,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,0.287,,,,,,,,,,,,,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,0.452,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,0.6542,0.37645,0.15816,0.135,,0.39812,0.1,0.389,0.477,0.1732,0.1215,0.88772,0.48669,,0.3324,0.53412,0.2123,0.2488,0.5954,0.184,,0.36255,0.9173,0.3793,0.12599,1.31892,0.2796,0.7864,0.9832,0.37713,0.22342,0.2132,0.55198,0.1643,0.34738,,0.1269,0.95787,0.12874,0.42893,0.18852,0.2751,0.26725,0.53962,,0.881,1.68891,0.25552,0.13426,0.159,0.41879,0.31262,0.4257,0.29883,0.1312,0.17496,0.14553,0.4894,0.67363,0.1397,0.3921,0.3514,0.7925,0.19466,0.8447,0.15986,0.1853,0.437,0.5177,0.51539,1.62895,0.91672,1.9469,0.3178,0.25231,0.3919,0.17225,,0.29829,0.44651,1.26481,1.27973,1.8999,2.52253,0.44759,0.12878,,,0.7641,0.51338,,0.32746,0.29,0.29157,,0.15781,0.94377,,0.39786,,1.547,1.78441,0.56129,0.6233,2.38882,0.1935,,0.5677,,2.28714
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified,0.3838,,,,0.2885,,,,,,,,,,,,,,,,0.2518,,,,,,,,,,,0.792,,,,,,,,,,,,,0.26,,,,,0.1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434,,,,,,0.366,0.2399,0.1855,,,0.3398,,1.17268,,,,,,,0.1297,,0.2494,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_phI,0.25478,,,,0.267,,,,,,,,,0.4366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2446,,,,,,,0.2497,,0.18,,,,,,0.569,0.198,0.13447,0.14494,0.8,,,1.1224,,,0.1745,,0.544,,,,0.6572,0.1752
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta,0.22,0.466,0.44,,,0.152,,,0.216,,,,,0.68,,,,,,,,,,,,,,,,0.1367,,,,,,,,,,,,,,,,,,,,,,,0.54,,,0.47,,,0.26,,,,,,,,,,,,0.1287,0.1288,,,,,,0.2987,,,0.216,,0.2528,0.22613,,,0.5162,,,0.117,0.266,0.2865,,,0.11836,,,0.246,,0.4459,,,0.1493,0.146,,,0.153,0.836,0.24,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,,0.1427,,,,0.991,,,0.1679,0.9464,0.754,,,0.4582,,,,,,,,0.426,,,0.934,,,0.26,,0.915,,,,,,,,,0.553,,,,,,0.855,,0.638,,,,0.349,,0.5415,,,0.924,,,0.2417,,,,,,0.67,,,,,,,0.1555,0.319,,,,,0.2427,,,,0.385,0.4857,0.6333,,,0.1451,0.557,,0.295,0.16263,0.7765,,,0.17413,0.1691,0.422,0.482,,0.27778,,0.1987,0.59,0.279,,0.1539,0.13423,0.71,0.711,0.1136
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,0.518,,,,,,0.642,,0.475,0.12669,,,0.1348,,,,,,,0.3142,,0.21,,,0.566,,0.935,0.1886,,0.2182,,,,,,,,,,,0.759,,0.1143,,,,,,,,0.3494,,0.122,0.36,,0.1363,,,,,,,,,0.143,0.874,,0.322,,,0.42222,,,,,,,0.126,,,0.3931,,0.267,0.1864,,0.1767,0.1,,0.627,0.4926,,,,0.1174,0.5381,,0.661,0.317,0.1962,0.3589,0.147,0.985,,0.1113,0.5195,0.437,0.6468,0.1471,0.13456,0.4997
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified,,0.625,0.619,0.251,0.3185,0.496,0.278,0.139,0.354,,0.523,0.2913,,0.148,0.149,0.4618,0.136,0.866,0.346,0.481,0.556,0.319,0.734,0.834,0.659,0.338,0.192,0.523,0.38,,0.95,0.895,0.1127,,0.193,,0.1318,0.1234,0.148,0.144,0.2335,0.158,0.573,0.361,0.29,,,0.3936,0.526,0.172,0.622,0.36,,0.196,0.366,0.12,,0.26,,0.634,,0.19,,,,,0.16,0.3269,0.631,0.299,0.115,0.312,0.6626,0.948,,0.116,,,0.342,0.617,0.388,0.1413,0.146,0.1272,0.913,0.64,0.13,,0.287,,,,0.289,0.688,0.83,0.32,0.1222,0.526,0.1184,0.3516,0.259,0.449,0.1728,0.154,0.79,0.284,0.568,,0.442,0.1272
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis,0.8182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292,,,,,,,,0.1678,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,0.65,,0.4391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_barnesiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65818,,,,,,,,,21.58127,0.1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,0.3751,,0.13865,0.7185,2.2985,,0.62721,,,1.33356,,2.7298,9.8667,4.1179,,0.21621,0.52191,0.1842,0.41561,0.9984,,,2.6199,0.472,1.7617,0.72697,0.35398,,2.2187,0.39,0.2177,1.34947,0.59352,2.74813,2.92245,0.7872,,0.4268,,0.5861,1.3927,0.11538,0.4455,2.98541,6.7455,9.29961,1.3842,0.1282,,1.32536,2.1516,2.1953,,0.6127,0.99654,6.2225,,0.92818,,1.4984,2.11662,0.64353,0.2291,,2.52442,2.1513,0.43449,,0.178,1.4565,0.347,0.2595,0.88229,0.199,1.45522,0.445,0.397,,1.7161,1.25521,,0.25158,1.1765,,0.22423,,,,0.4974,0.68829,,1.5665,0.32758,,,,0.93859,1.57561,0.675,3.52937,0.24,,1.9939,,0.3488,1.582,0.315,1.95688,0.5966,0.73289
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,,2.46,,,6.515,12.6122,,3.53246,0.65378,4.173,19.18452,1.1767,,11.23543,0.1455,0.3926,,3.69373,0.724,5.88678,6.74673,,0.29,,,5.71999,0.41966,0.6968,,,,0.2559,5.65472,,0.15928,0.83,0.283,,8.1343,0.515,4.12432,,0.252,1.16214,0.532,,3.32188,,0.36992,0.11117,0.169,2.14674,,,0.4242,0.3839,,0.97,0.74182,0.35997,1.35153,0.393,,,7.7372,,1.52389,,0.77,3.3742,0.45268,,,0.29,0.69,0.13775,,,0.3189,,,,,,,,0.5734,13.48572,0.1274,0.7931,,,,0.9521,,,,0.65,2.2133,,,,0.51197,0.2699,0.1932,0.23225,1.14728,,0.2188,0.54512
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus,0.21639,,0.17999,,0.5156,,,5.78196,,,,,,,,,0.15836,,0.11133,,,,0.8694,0.59445,,,,,,,,0.1161,,,0.144,,0.434,,,,0.974,0.1147,,1.8679,,,,0.16313,0.648,,,,,,0.8175,,0.87578,0.42726,,0.27491,,,,,,0.281,,,0.679,,,,0.1713,0.286,,,,,0.1424,,,,0.36,0.2733,,,0.19,,,,,,0.469,,,0.1365,0.3982,0.41259,0.5678,,,,0.13494,,0.1982,0.777,,0.5489,,0.7184
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,,1.1839,,0.23354,,,,,,,,0.151,,,,,,,,,,,,,,,,,,,1.88199,,,,0.34218,,,,,0.36,0.45267,,,,,,,0.9792,,,,,,,2.14776,,,1.6216,,,,,,,,,,,0.3699,,,11.68957,,6.2253,1.22378,,1.3313,,3.9287,0.977,,,,1.8962,0.3571,,2.89211,,4.23355,0.12842,24.12588,,,,,,7.13622,,,,13.2172,,0.2613,15.31241,0.3345,7.3116,0.116,1.5953,0.9838,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus,,,,0.48552,3.4116,,2.17389,,,0.822,,,,,,,,,,,,,,,,,,,,,0.119,,,,,,6.779,,,,1.13813,,,,,,,,,,,,,,,,,,,,,,,0.41242,,,,,2.83322,,,,,,,,,,,,0.8,,,0.1482,1.46,,0.4,,,,,,2.62335,,,,,,,,,,,0.83,5.99416,,,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,1.43929,1.21342,1.71544,0.44987,,4.6446,0.2222,0.575,27.4951,0.13188,,4.21451,,0.45886,0.1344,0.393,0.9749,0.12759,0.1197,2.14982,3.53917,,0.48247,0.82779,3.36122,3.2544,0.65885,1.26878,1.72329,1.7513,0.67821,0.3482,0.48538,,0.5118,4.42871,0.23618,0.4692,,0.33439,0.74115,0.95569,1.9459,0.81398,0.259,26.4274,1.59799,0.43522,0.3396,,0.13668,6.2993,0.26,0.17168,1.57636,,3.79486,4.68237,,0.21718,3.31176,8.54,0.1357,,0.1,0.89981,0.24911,2.14535,0.6231,0.75385,0.9975,0.3575,0.7912,1.61177,2.45655,0.2134,0.29391,,3.75176,0.39257,5.17221,0.93937,2.5176,,0.14616,0.34837,1.8713,3.55197,0.37517,3.38487,2.23114,5.8698,0.132,2.21268,2.47137,1.3839,1.1569,0.29,2.9841,,0.32535,0.22,0.52394,,0.81546,1.63429,1.86312,0.455,0.1467,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,,,1.85765,,,,3.17125,0.13,,,,,,,0.6971,,,,0.582,,,,0.113,0.213,,,0.5383,,,7.39961,0.1465,0.73542,,,,,0.8977,0.627,,0.4972,1.1499,0.637,,,,,,,,,2.41764,,,,4.89935,8.74596,,0.92999,,6.83769,9.81144,0.183,0.228,1.1419,,15.6547,,,,,,0.45436,0.7182,0.652,0.4611,0.19433,,5.56942,0.798,0.622,,,,,0.14178,,0.68,,5.27915,0.1933,,0.214,0.386,,,4.4263,7.67338,0.167,,9.46721,0.14695,,0.3299,,,0.453,,0.7719,1.59494,1.14169
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,,,,0.5715,,,,0.922,,,,0.84,0.31147,0.65,0.139,0.13867,0.876,,0.648,,0.9,,0.667,0.643,0.64792,,0.34,,,0.654,0.342,,0.192,,,0.313,,0.5888,,0.69,0.18639,,,,,,,0.284,0.114,0.41,,,,0.54899,1.28763,,,0.294,,,,,,0.481,,0.94,0.52,,0.1625,0.145,,0.6789,0.1887,0.267,0.182,0.62,,,0.39796,0.35,,,0.27,,,,0.52,,,0.81,,1.28537,,,,1.7823,,0.27,,,0.173,,0.91,,0.662,0.48,,,0.28695,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,,,,0.2737,,,0.53881,,0.18,,,0.21846,,0.34148,0.2391,,,0.561,0.11766,,,17.3628,1.23644,1.93787,,,0.765,0.69,0.149,0.5722,1.48182,,,,0.139,,0.58853,0.1398,,,,,0.115,,,0.257,,,,,,0.137,,,,,0.97542,0.27942,,,,,0.6173,0.981,,,,,1.1357,0.27,,0.5946,,0.29464,0.152,0.9469,0.338,,1.1514,0.46833,,,,,,,0.27,,,,,0.22,,,,0.29663,0.1199,,,1.19273,,,,3.33937,,0.177,,0.31263,,0.6439
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,0.29314,1.34111,,0.724,0.2323,,,,1.92583,3.65224,,0.58113,,0.26387,,,,0.58838,,,0.76585,0.3976,0.2135,0.8359,0.68311,,,,,0.97541,,0.2276,0.11227,1.26152,,0.6472,,,2.93359,,,0.2835,0.2671,0.1692,,1.5517,0.56468,0.288,,,0.7795,0.13357,4.559,,,2.4598,0.2318,,,0.2685,0.7755,1.4953,,0.4616,1.55553,0.4352,0.16431,0.1282,0.1433,2.6154,0.7923,0.3947,3.69314,,,,,2.4495,,,0.111,0.1228,1.35836,0.7346,,0.44635,0.4655,,0.219,,,,,,,0.471,,,0.329,3.46849,,11.28262,5.6859,0.375,,,0.19,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis,,2.3619,,,0.66122,0.43448,,0.3,,0.286,,,,,,0.439,,0.28123,,0.275,,3.41482,8.7432,1.47,5.8858,,,,,,,,,,,2.82925,,,,0.132,,,11.7288,0.186,,,0.316,0.1715,,,0.42459,0.58,,0.36,,,,0.479,4.53815,,,,0.69,,0.389,,0.58,,,,1.795,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78427,0.1187,,,,,0.8113,,,0.5946,,,
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,,,,0.94,,,,0.2536,0.119,,,0.46,,3.8287,0.494,,0.38,3.63354,0.56626,3.24547,0.776,0.42,0.184,16.7512,0.84,0.18,3.43188,5.42276,0.452,0.476,0.557,1.12993,0.125,,,,,,,0.27,0.233,0.225,7.123,0.278,,0.417,,0.88,3.551,2.66748,,17.68179,0.546,0.25,1.3852,,0.555,14.71798,,0.195,,0.291,0.1622,,0.273,0.54,0.16,0.397,1.59179,0.15,0.132,0.9654,0.756,0.26314,2.71585,0.1545,1.54121,0.2545,1.34443,0.2175,0.525,0.238,0.7,0.318,,0.51,0.567,0.97,2.5191,1.89548,0.158,13.2181,0.2382,2.2414,2.9559,0.436,2.93985,5.4268,0.514,0.77517,0.9444,0.165,0.77612,0.7461,1.79426,0.834,0.1118,1.9457,1.2214,0.32554
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,0.2388,0.12222,0.617,0.746,,,,0.515,,,,0.15531,,,,0.86,,,,,,,,0.1277,,0.2788,0.375,0.4796,,,0.38,,,,,0.4213,,,,0.356,,,0.2626,,,,,0.385,0.53,,0.9174,,,,,,,0.287,,,,,,0.7934,0.378,0.1492,,,0.199,,,,,,,,,,0.375,0.56,,,,,,,,,,0.632,,,,,,,,,,,0.27,0.7521,,,,,0.3878,0.268,,0.44
