disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,,,,,,,,5.52417,0.755,,,,,,,,,,,,,,,,,0.21281,,0.415,,,,,,,0.27,,,,,,,1.8827,,,,0.374,0.18,0.1439,0.268,0.1913,,,,0.754,0.376,,,,,,,0.1144,,,0.1323,,,,,,0.1123,0.127,,3.8579,,,0.158,,0.957,,9.23411,2.7151,0.338,,,,,,,,,,,,0.91613,,0.2436,0.21179,,0.5857,0.4412,,,,,,,,,,,0.49197,0.14386,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,0.52,,,,,0.6758,,,,,,,,0.285,,,,,,,,,,,,0.98,,,,,,,,,,,,0.122,0.11,0.443,0.425,,0.126,,,,0.15,,,,,,,,,,,,0.222,,,,1.21576,,,0.245,,,,0.1543,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,,,,,,,0.366,,,,,,,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366,,,,,1.4,,0.488,0.68743,,,,,,,,,,,,,,,0.75183,,,,,,,,,,,0.781,,,,,,,,0.19687,,,,,,,,,,0.3983,,,,,,,,,,,,,,,,,,,0.7182,,,,,,,,,,0.23499,,,,,,,,,0.3373,,,,,,,0.13859,,,,,,,,,,,,1.55251,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,1.14497,,,,,,,,0.15435,,,,,,,,,,,,,,0.1175,,,,,,,,,,0.27361,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5733,,,,,,,0.43,,,,,,,,,,,0.64,,0.3451,,,,,,,,,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,0.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,,0.654,,,0.27368,0.448,,,0.342,0.686,,,0.584,,0.8,0.3469,,0.68494,,,0.15346,,0.2267,,0.329,,0.68291,,,,0.2174,0.12827,,0.24,0.1463,,,,0.44,0.15341,0.1154,0.17139,0.836,0.66889,,,,0.1874,0.991,0.1262,0.3196,,0.46644,0.4219,0.514,0.842,0.46482,,0.3452,0.41491,0.3727,0.964,,0.7695,0.689,,0.657,0.2674,0.2139,0.6439,0.342,1.4827,0.27,0.83694,0.771,,0.9349,0.659,0.449,0.1352,3.99937,1.74665,0.1339,,,0.66988,,0.525,0.2197,0.693,0.774,0.288,,,0.3346,,0.229,0.15,0.13678,0.2773,1.18127,9.13194,0.65,0.5967,0.6168,,0.1846,,0.85971,,0.27,0.17962,,,0.3852,0.119,0.373,0.356,,0.393,0.472,,0.3681,,0.96,0.26,,0.4441,0.2114,0.2366,0.12,,0.283,0.6436,0.3461,0.214,0.746,,1.93316,,0.213,0.4817,0.3358,,0.2617,1.4822,0.25168,0.67317,0.388,0.12,0.11188,,0.5177,1.64394,0.858,,0.1675,0.13726,,0.96,0.4816,0.29318,,0.1319,0.5824,0.144,,0.241,0.446,0.387,2.4699,0.369,1.26766,0.554,0.5514,,,,0.36939,,0.216,,0.163,2.5361,2.38733,0.19,0.26743,0.287,0.619,2.15226,0.4757,0.411,0.3,0.98,0.1487,0.1512,0.76372,,2.41979,0.21591,,0.95,,,0.15,,0.187,0.393,0.23,,0.413,0.214,0.6226,,0.16733,,0.637,,0.62,0.42121,0.58692,,0.1737,0.35,1.4319,5.62893,,0.113,0.32855,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,,0.4733,0.5692,0.15253,0.166,,,,,,,0.146,,,,0.461,0.24682,0.2718,,,0.848,,0.1295,1.2834,0.558,0.911,1.7366,,,,0.16292,0.985,,0.3662,0.46,0.3227,0.5547,0.1154,0.3712,0.32999,0.77835,,,,,0.145,,0.445,0.771,0.256,,,0.3256,3.17284,0.21311,0.1261,0.44681,,0.7887,,0.12,0.1897,,1.74535,0.1499,0.265,1.2377,0.398,0.1486,0.55593,0.37993,0.53699,,0.34694,,,0.131,0.6448,,0.541,,0.1261,0.52842,,,,,0.552,0.2294,,0.198,0.297,,0.5781,0.1126,0.316,,,0.2644,0.175,0.86231,,2.87735,,0.2283,0.926,0.2975,,,,0.2266,0.4182,,,0.13785,0.3315,,,,0.1786,,,,,,,,0.633,0.5729,0.48565,0.3866,,0.2272,0.28824,0.8289,,,,0.1838,1.61693,0.678,0.461,0.755,0.8933,,0.98554,,,,,0.28528,0.4176,,,0.1247,0.3425,0.138,0.35352,,0.769,,,,0.5841,0.984,0.5563,,,,,0.8474,0.5157,,,1.3488,,,,,,,0.631,0.299,4.861,,0.175,0.8624,0.111,,3.58984,0.9683,0.23395,0.146,0.548,0.52,,1.64582,0.29,8.5181,0.87997,0.325,0.51,0.7742,0.438,,0.5577,0.618,0.17,0.143,,,,0.42676,,,,0.146,,0.3582,0.676,,,0.6627,,,,,,0.131,,,0.825
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114,,,,,,,,,,,,,,,,,,,,,,,,,0.2412,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,,0.8773,0.5996,,,0.229,0.8967,,0.6967,,,,,0.5216,,,,0.3772,0.8596,,0.6618,,,0.2116,0.1325,0.166,0.2594,0.2137,0.2512,0.4131,0.5136,0.2445,,0.6237,0.1169,0.468,,,,,,0.2268,,0.363,,0.443,0.2131,0.74,0.7986,0.796,0.2821,0.8851,0.65,0.443,0.7884,0.6343,,0.2381,0.1797,,0.2521,0.397,0.38,,0.1527,,,0.529,0.1823,0.872,0.5411,0.1896,,0.331,0.5677,,,,0.12132,,0.147,0.2315,0.1994,0.3995,0.1781,0.19934,,,0.899,0.627,,,,,0.1946,,,,0.3679,,0.1468,0.9197,0.75592,,,0.1195,0.6423,,,,,0.2654,,,,,,,0.2997,0.176,,,,,,,,,,0.1156,0.3799,,,0.1917,,0.1579,,,,0.22267,,,0.376,,,,0.421,0.491,,,,,,,,,,,,,,,,,,,,,,,,0.6577,,0.2761,,,0.365,,,,,0.356,,,,,,,,,0.1272,,,,,,,,,,,,0.1198,0.258,0.218,,0.2563,,,,,,0.884,,,,,,,,0.2685,,0.2174,,,,,,,,,0.1581
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243,,0.2625,,0.261,,,,,0.169,,,,,,,0.332,0.1259,,,,,0.91,0.4297,,,,,,,0.19,,0.425,0.124,,,0.239,,,0.195,,0.57,,0.4472,0.864,,0.3423,,,,,0.171,,,,,0.229,0.217,0.538,0.2153,0.349,,0.537,0.1658,,,0.19,,0.11,,,,,,0.694,,,,,0.1454,,,,,,0.551,,,0.2697,,,0.19,,0.5765,,0.2366,,,,,,,,,0.3236,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,0.65,,,,,,,0.23,,,,,,,,,0.53,,,,0.468,,,,,,,,,,0.1458,,,,,,,,,,,0.31,,,0.499,,,0.2363,,,,,0.82,,,,,,0.536,0.734,,,,,,,,,,,,,0.135,,,,,0.347,,,,,,,0.3454,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,,,0.1521,,0.2252,0.516,,,0.37835,,0.1734,,0.5466,,0.14422,0.3872,,,0.161,0.8814,0.11337,,0.471,,0.1292,0.14731,,0.19317,,,,,0.6359,0.1653,0.3727,,0.2751,0.4793,,0.193,0.9872,0.6887,,0.14777,,,,0.12414,0.423,0.9864,0.121,0.1614,,0.54648,,,,0.7444,0.9498,,,0.16123,0.21174,,0.16992,0.624,,0.47,0.859,,,,0.3731,0.2251,0.7821,,,0.12172,0.6624,0.7978,0.4921,0.13325,0.16214,0.15131,0.1481,,0.1645,0.4631,0.1213,,0.5912,0.449,0.1179,,0.1657,0.189,,0.5579,0.2943,0.2388,0.33354,,0.13756,0.9726,,0.13,0.14813,0.366,,,0.28223,0.3724,0.48339,0.161,0.259,0.75,,0.1322,,0.12344,0.73,,0.1339,,0.88,,,0.62,0.163,0.1596,0.25258,0.73,0.1732,0.26456,0.2232,,,0.5626,1.67174,,,0.1152,,,0.1561,,,0.18949,0.94,,,0.7291,0.5996,0.14877,,0.6,,0.1347,0.587,0.1364,0.33426,,,,0.664,0.422,0.4621,,,,,0.14864,,0.4143,,,,,,0.1528,0.1964,0.1769,0.8121,1.28262,,,,0.26936,0.1596,,0.4698,,,,0.1358,0.154,,,0.42363,,,,,0.241,,,,0.439,,,0.5624,0.16183,0.2819,,,,,,0.14679,0.4151,0.1858,,0.167,0.12127,,,0.6155,0.73,,,0.8156,0.262
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified,,,,,0.234,,,,,,,0.3381,,,,0.1134,,,,,,,,0.157,,,,,,0.6611,0.1257,,,,,,,,,,,,,,0.549,,,,,,,,,,,,,,,,0.133,,,,,,,,,0.2385,0.398,0.25,,,,0.243,,,,,,,,,0.8392,,,,,,,,0.1168,,,,,,,0.313,,,,,,,,,,,,,,,,,,,0.1678,,,,,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,,,,,,,,0.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1947,,0.257,,,,,,,,,,,,,,,,,,,,0.3334,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_phI,,,,,,,0.51,,,,0.84,,,0.143,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,0.3227,,,,,,,,,,0.2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.393,,,,,,,,,,,,,,,,,,,,,,,,0.2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13851,,,,,,,,,,,0.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.1395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta,,,,,,,,0.9219,,0.296,,,0.212,,,0.48,,,,0.266,,,,0.233,,,0.166,,0.147,0.169,,0.31,0.55,,,,,,,0.144,0.214,0.221,0.995,,,,0.42,,,,,0.373,0.937,,,,0.531,,,,,,,0.1946,,,0.59,,,0.491,,0.382,0.33,,,0.1743,,0.328,0.115,,,,,,,,,,,,,,,,,,,,,,,,0.3478,,,,,0.615,,,,,,,0.1125,0.21,,,,,,,,,,,,0.91,0.111,0.5,,0.133,,,,0.481,,,0.2558,0.16773,0.6717,0.336,,0.68,,0.17,,0.1592,0.81,,,0.136,,0.77,,,,,,,,0.2377,,,0.392,,,0.29,,,,,,,0.68,0.16,0.26,,,,0.11,,0.157,,,,0.182,,,0.1253,,,0.217,0.69,0.9,,0.285,,0.974,,,,,,0.258,,,,0.658,,,,,,0.118,,,,0.1866,,,,,0.137,0.223,,,,,,0.1134,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,0.6939,0.18,,0.2423,0.638,,0.3247,0.26117,,0.1369,0.7372,,0.1944,0.231,,0.1835,,0.258,,0.4522,0.871,,0.192,0.6879,0.652,0.35,0.3652,,0.3631,0.4565,,0.522,0.193,,,0.53,0.124,0.987,0.1392,0.218,0.1629,0.552,0.1622,0.88,,0.265,0.6336,,,,0.425,0.1768,0.1274,0.22,0.1827,,0.3835,,0.227,0.4119,0.4426,,,0.13575,0.998,0.39,0.243,0.199,0.431,0.482,0.586,0.5416,0.748,0.182,0.1211,0.3432,0.1225,0.6198,0.52,0.5969,,,,0.124,,0.173,,,,0.68,,0.811,,,,,,,,,0.1259,0.75,0.13493,,,,0.152,0.2443,0.1848,0.5299,0.443,0.615,,0.23,0.1494,0.617,0.7732,0.193,0.294,,0.333,,,0.452,0.544,0.129,0.247,0.7389,0.2248,0.124,0.235,0.5422,0.67,,0.124,0.1115,0.14233,,0.698,0.91323,0.6719,0.2171,0.115,0.3258,,0.1791,0.95,0.3518,0.3171,0.526,0.413,0.1613,0.2876,0.322,0.2848,,0.699,0.1256,0.565,,0.2396,0.4881,,0.787,0.491,0.812,,0.2618,,,0.1122,0.3751,0.857,0.31,0.1988,0.458,0.5277,,0.712,,0.2454,0.1794,0.7396,0.466,0.228,0.579,0.164,,0.72,0.9484,0.994,0.329,0.194,0.82,0.673,,0.1345,,,0.4333,0.23,0.5552,0.5752,0.863,0.381,0.2529,0.43,,0.198,,,,0.1775,,,0.651,,,0.91,,,0.2424,,0.321,0.4644,,0.4544,,0.2766,,0.5527,
